"","number","contract_name","name","address","banking","bonus","bike_stands","available_bike_stands","available_bikes","status","last_update","position.lat","position.lng"
"199",7036,"lyon","7036 - GRYPHE / MONTESQUIEU","",TRUE,FALSE,25,12,12,"OPEN",1695363178000,45.751902,4.843812
"200",9029,"lyon","9029 - SAINT PIERRE DE VAISE","Place Vanderpol/Angle St Pierre de Vaise",FALSE,FALSE,15,8,7,"OPEN",1695363177000,45.773125,4.807831
"201",3099,"lyon","3099 - PLACE SAINTE ANNE","10 PLACE SAINTE ANNE",TRUE,FALSE,18,11,6,"OPEN",1695363246000,45.757042,4.86532
"202",8001,"lyon","8001 - UNIVERSITÉ LYON III","Devant entrée principale de l'université",FALSE,FALSE,36,13,23,"OPEN",1695363133000,45.748535,4.861533
"203",3005,"lyon","3005 - SAXE / GAMBETTA","Place Victor Basch",TRUE,FALSE,26,10,16,"OPEN",1695363261000,45.75377,4.848043
"204",555,"lyon","0-555 - ATELIER VÉLO'V","",FALSE,FALSE,3,3,0,"OPEN",1695363027000,45.780403,4.904869
"205",8033,"lyon","8033 - BERTHELOT / CAZENEUVE","",FALSE,FALSE,20,20,0,"OPEN",1695362667000,45.737481,4.865503
"206",10058,"lyon","10058 - MÉTRO FLACHET","274 COURS EMILE ZOLA (VILLEURBANNE)",TRUE,FALSE,22,11,11,"OPEN",1695363203000,45.767051,4.892467
"207",8010,"lyon","8010 - PLACE MENDÈS FRANCE","95 AV. DE L'EUROPE",TRUE,FALSE,20,4,16,"OPEN",1695362961000,45.740052,4.85941
"208",3067,"lyon","3067 - HACHETTE","6 RUE JEAN RENOIR",FALSE,FALSE,15,3,12,"OPEN",1695362668000,45.752907,4.863923
"209",7055,"lyon","7055 - SERVANT / JABOULAY","23 RUE RENAN",FALSE,FALSE,16,8,8,"OPEN",1695363024000,45.746779,4.842051
"210",17002,"lyon","17002 - ST FONS - 4 CHEMINS","",TRUE,FALSE,11,2,9,"OPEN",1695362771000,45.708561,4.854821
"211",5002,"lyon","5002 - PLACE DES COMPAGNONS DE LA CHANSON","Angle rue des Aqueducs",FALSE,TRUE,18,10,8,"OPEN",1695363134000,45.756535,4.796616
"212",10084,"lyon","10084 - DOUA / AVENUE DES ARTS","84 avenue des Arts",TRUE,FALSE,30,0,30,"OPEN",1695363201000,45.783533,4.871294
"213",9042,"lyon","9042 - VAISE DOCKS","39 rue des Docks Lyon 9",FALSE,FALSE,19,2,17,"OPEN",1695363266000,45.786533,4.811446
"214",7013,"lyon","7013 - HALLE TONY GARNIER","93–131 Avenue Tony Garnier 69007 Lyon",TRUE,FALSE,20,11,9,"OPEN",1695363077000,45.730786,4.823733
"215",14003,"lyon","14003 - BRON - PLACE CURIAL","",FALSE,FALSE,25,20,5,"OPEN",1695363237000,45.736633,4.917009
"216",11003,"lyon","11003 - CALUIRE - LA ROCHETTE","Quai Gillet au  niveau de la place de la Rochette. Caluire et Cuire.",FALSE,FALSE,20,14,6,"OPEN",1695363246000,45.791748,4.823595
"217",3039,"lyon","3039 - PLACE BIR-HAKEIM","Au niveau de la rue Duvivier",FALSE,FALSE,19,9,10,"OPEN",1695362913000,45.752553,4.855756
"218",10023,"lyon","10023 - JAURES SAINT EXUPERY","",FALSE,FALSE,25,15,9,"OPEN",1695363255000,45.757646,4.883377
"219",3053,"lyon","3053 - GAMBETTA / JUSSERAND","Angle cours Gambetta",TRUE,FALSE,13,9,4,"OPEN",1695363251000,45.751123,4.855604
"220",2040,"lyon","2040 - ST ANTOINE / GRENETTE","12 QUAI ST AINTOINE",FALSE,FALSE,23,22,1,"OPEN",1695363140000,45.7633761875017,4.83212534541183
"221",20002,"lyon","20002 - OULLINS - MAIRIE","",TRUE,FALSE,18,13,5,"OPEN",1695363084000,45.714039,4.806642
"222",2024,"lyon","2024 - RÉPUBLIQUE / MAUPIN","Entre Herriot et République",FALSE,FALSE,25,25,0,"OPEN",1695363201000,45.758733,4.834136
"223",1035,"lyon","1035 - QUAI LASSAGNE","3 QUAI ANDRE LASSAGNE",TRUE,FALSE,16,15,1,"OPEN",1695363149000,45.772191,4.837917
"224",2014,"lyon","2014 - JACOBINS","3 RUE JEAN DE TOURNES",TRUE,FALSE,26,24,1,"OPEN",1695363262000,45.760762,4.834305
"225",6037,"lyon","6037 - CITÉ INTERNATIONALE / INTERPOL","Allée A. Lignon",TRUE,FALSE,27,25,2,"OPEN",1695363011000,45.782287,4.849378
"226",10083,"lyon","10083 - CHATEAU GAILLARD / BIENVENUS","2 RUE DES BIENVENUS",FALSE,FALSE,15,12,3,"OPEN",1695363170000,45.777873,4.884238
"227",2017,"lyon","2017 - RÉPUBLIQUE / FERRANDIÈRE","Rue de la République",TRUE,FALSE,25,23,2,"OPEN",1695363090000,45.762184,4.836023
"228",8057,"lyon","8057 - VIENNE / MONTAGNY","184 ROUTE DE VIENNE",FALSE,FALSE,20,16,4,"OPEN",1695363159000,45.732483,4.853406
"229",3051,"lyon","3051 - PLACE HENRI","Angle rue Docteur Long/av. Lacassagne",FALSE,FALSE,13,12,1,"OPEN",1695363050000,45.748193,4.880641
"230",7014,"lyon","7014 - MARSEILLE / FÉLISSENT","Rue Felissent, angle rue de Marseille",TRUE,FALSE,30,18,12,"OPEN",1695363156000,45.752989,4.841417
"231",8007,"lyon","8007 - FRÈRES LUMIÈRE","Angle rue Villon",TRUE,FALSE,15,0,15,"OPEN",1695363076000,45.745018,4.866424
"232",9006,"lyon","9006 - THÉÂTRE NOUVELLE GÉNÉRATION","Rue Tissot / angle rue de Bourgogne",TRUE,FALSE,16,1,15,"OPEN",1695363263000,45.777287,4.803297
"233",10032,"lyon","10032 - PRIMAT / DECORPS","Rue Antoine Primat/Angle rue Decorps",FALSE,FALSE,13,10,3,"OPEN",1695362830000,45.757173,4.89998
"234",8021,"lyon","8021 - PAUL SANTY","Place Général André - Face au 126 avenue Paul Santy",FALSE,FALSE,16,4,12,"OPEN",1695363213000,45.728542,4.877279
"235",2001,"lyon","2001 - BELLECOUR / RÉPUBLIQUE","Angle République / rue de la Barre",TRUE,FALSE,18,14,4,"OPEN",1695362884000,45.758,4.834594
"236",2028,"lyon","2028 - SAINTE-BLANDINE","Face station tram Ste Blandine",FALSE,FALSE,16,3,13,"OPEN",1695363123000,45.744438,4.822152
"237",2006,"lyon","2006 - PLACE DE L'HIPPODROME","Angle cours Charlemagne",TRUE,FALSE,24,2,22,"OPEN",1695363120000,45.745528,4.82359
"238",3021,"lyon","3021 - PLACE DE LA FERRANDIÈRE","Intersection Ferrandière/Jasseron",FALSE,FALSE,20,14,6,"OPEN",1695363263000,45.759488,4.869346
"239",8059,"lyon","8059 - LAENNEC / PINEL","173 BVD PINEL (BRON)",FALSE,FALSE,15,12,3,"OPEN",1695362835000,45.735375,4.88954
"240",1003,"lyon","1003 - PLACE SATHONAY","6 PLACE SATHONAY",TRUE,FALSE,22,20,0,"OPEN",1695363253000,45.769289,4.830127
"241",2009,"lyon","2009 - CONFLUENCE / DOCKS","Sur l'esplanade entre la rue Hrant Dink et le 40 quai Rambaud",TRUE,FALSE,26,21,5,"OPEN",1695363011000,45.739652,4.814984
"242",2011,"lyon","2011 - SALA / RUE DU PLAT","Face à la faculté catholique",FALSE,FALSE,14,14,0,"OPEN",1695363071000,45.756813,4.828342
"243",1001,"lyon","1001 - TERREAUX / TERME","Angle rue d'Algérie",FALSE,FALSE,16,14,1,"OPEN",1695363215000,45.767736,4.832114
"244",1016,"lyon","1016 - PÊCHERIE","Rue de la Platière - Angle quai de la Pêcherie",FALSE,FALSE,17,16,0,"OPEN",1695363229000,45.765944,4.831089
"245",7056,"lyon","7056 - PLACE RASPAIL","4 PLACE RASPAIL",TRUE,FALSE,22,19,3,"OPEN",1695363127000,45.755783,4.840745
"246",10103,"lyon","10103 - DOUA / RUE DES SPORTS","103 ave des Arts / rue des Sports",FALSE,FALSE,30,8,22,"OPEN",1695363134000,45.784526,4.877482
"247",10080,"lyon","10080 - VAILLANT / PERRONCEL","96 RUE ALEXIS PERRONCEL (VILLEURBANNE)",FALSE,FALSE,17,14,2,"OPEN",1695363261000,45.775409,4.880261
